Time,Temperature  (*C),Temperature  (*F),A-D  (1-255)
10/5/95 12:24,52.3,126.2,127
10/5/95 12:25,52.3,126.2,127
10/5/95 12:26,52.3,126.2,127
10/5/95 12:26,52.3,126.2,127
10/5/95 12:27,52.3,126.2,127
10/5/95 12:28,52.3,126.2,127
10/5/95 12:28,52.3,126.2,127
10/5/95 12:29,52.3,126.2,127
10/5/95 12:30,52.3,126.2,127
10/5/95 12:30,52.3,126.2,127
10/5/95 12:31,52.3,126.2,127
10/5/95 12:32,52.3,126.2,127
10/5/95 12:32,52.3,126.2,127
10/5/95 12:33,52.3,126.2,127
10/5/95 12:34,52.3,126.2,127
10/5/95 12:34,52.3,126.2,127
10/5/95 12:35,52.3,126.2,127
10/5/95 12:36,52.3,126.2,127
10/5/95 12:36,52.3,126.2,127
10/5/95 12:37,52.3,126.2,127
10/5/95 12:38,52.3,126.2,127
10/5/95 12:38,52.3,126.2,127
10/5/95 12:39,52.3,126.2,127
10/5/95 12:40,52.3,126.2,127
10/5/95 12:40,52.3,126.2,127
10/5/95 12:41,52.3,126.2,127
10/5/95 12:42,52.3,126.2,127
10/5/95 12:42,52.3,126.2,127
10/5/95 12:43,52.3,126.2,127
10/5/95 12:44,52.3,126.2,127
10/5/95 12:44,52.3,126.2,127
10/5/95 12:45,52.3,126.2,127
10/5/95 12:46,52.3,126.2,127
10/5/95 12:46,52.3,126.2,127
10/5/95 12:47,52.3,126.2,127
10/5/95 12:48,52.3,126.2,127
10/5/95 12:48,52.3,126.2,127
10/5/95 12:49,52.3,126.2,127
10/5/95 12:50,52.3,126.2,127
10/5/95 12:50,52.3,126.2,127
10/5/95 12:51,52.3,126.2,127
10/5/95 12:52,52.3,126.2,127
10/5/95 12:52,52.3,126.2,127
10/5/95 12:53,52.3,126.2,127
10/5/95 12:54,52.3,126.2,127
10/5/95 12:54,52.3,126.2,127
10/5/95 12:55,52.3,126.2,127
10/5/95 12:56,52.3,126.2,127
10/5/95 12:56,52.3,126.2,127
10/5/95 12:57,52.3,126.2,127
10/5/95 12:58,52.3,126.2,127
10/5/95 12:58,52.3,126.2,127
10/5/95 12:59,52.3,126.2,127
10/5/95 13:00,52.3,126.2,127
10/5/95 13:00,52.3,126.2,127
10/5/95 13:01,52.3,126.2,127
10/5/95 13:02,52.3,126.2,127
10/5/95 13:02,52.3,126.2,127
10/5/95 13:03,52.3,126.2,127
10/5/95 13:04,52.3,126.2,127
10/5/95 13:04,52.3,126.2,127
10/5/95 13:05,52.3,126.2,127
10/5/95 13:06,52.3,126.2,127
10/5/95 13:06,52.3,126.2,127
10/5/95 13:07,52.3,126.2,127
10/5/95 13:08,52.3,126.2,127
10/5/95 13:08,52.3,126.2,127
10/5/95 13:09,52.3,126.2,127
10/5/95 13:10,52.3,126.2,127
10/5/95 13:10,52.3,126.2,127
10/5/95 13:11,52.3,126.2,127
10/5/95 13:12,52.3,126.2,127
10/5/95 13:12,52.3,126.2,127
10/5/95 13:13,52.3,126.2,127
10/5/95 13:14,52.3,126.2,127
10/5/95 13:14,52.3,126.2,127
10/5/95 13:15,52.3,126.2,127
10/5/95 13:16,52.3,126.2,127
10/5/95 13:16,52.3,126.2,127
10/5/95 13:17,52.3,126.2,127
10/5/95 13:18,52.3,126.2,127
10/5/95 13:18,52.3,126.2,127
10/5/95 13:19,52.3,126.2,127
10/5/95 13:20,52.3,126.2,127
10/5/95 13:20,52.3,126.2,127
10/5/95 13:21,52.3,126.2,127
10/5/95 13:22,52.3,126.2,127
10/5/95 13:22,52.3,126.2,127
10/5/95 13:23,52.3,126.2,127
10/5/95 13:24,52.3,126.2,127
10/5/95 13:24,52.3,126.2,127
10/5/95 13:25,52.3,126.2,127
10/5/95 13:26,52.3,126.2,127
10/5/95 13:26,52.3,126.2,127
10/5/95 13:27,52.3,126.2,127
10/5/95 13:28,52.3,126.2,127
10/5/95 13:28,52.3,126.2,127
10/5/95 13:29,52.3,126.2,127
10/5/95 13:30,52.3,126.2,127
10/5/95 13:30,52.3,126.2,127
10/5/95 13:31,52.3,126.2,127
10/5/95 13:32,52.3,126.2,127
10/5/95 13:32,52.3,126.2,127
10/5/95 13:33,52.3,126.2,127
10/5/95 13:34,52.3,126.2,127
10/5/95 13:34,52.3,126.2,127
10/5/95 13:35,52.3,126.2,127
10/5/95 13:36,52.3,126.2,127
10/5/95 13:36,52.3,126.2,127
10/5/95 13:37,52.3,126.2,127
10/5/95 13:38,52.3,126.2,127
10/5/95 13:38,52.3,126.2,127
10/5/95 13:39,52.3,126.2,127
10/5/95 13:40,52.3,126.2,127
10/5/95 13:40,52.3,126.2,127
10/5/95 13:41,52.3,126.2,127
10/5/95 13:42,52.3,126.2,127
10/5/95 13:42,52.3,126.2,127
10/5/95 13:43,52.3,126.2,127
10/5/95 13:44,52.3,126.2,127
10/5/95 13:44,52.3,126.2,127
10/5/95 13:45,52.3,126.2,127
10/5/95 13:46,52.3,126.2,127
10/5/95 13:46,52.3,126.2,127
10/5/95 13:47,52.3,126.2,127
10/5/95 13:48,52.3,126.2,127
10/5/95 13:48,52.3,126.2,127
10/5/95 13:49,52.3,126.2,127
10/5/95 13:50,52.3,126.2,127
10/5/95 13:50,52.3,126.2,127
10/5/95 13:51,52.3,126.2,127
10/5/95 13:52,52.3,126.2,127
10/5/95 13:52,52.3,126.2,127
10/5/95 13:53,52.3,126.2,127
10/5/95 13:54,52.3,126.2,127
10/5/95 13:54,52.3,126.2,127
10/5/95 13:55,52.3,126.2,127
10/5/95 13:56,52.3,126.2,127
10/5/95 13:56,52.3,126.2,127
10/5/95 13:57,52.3,126.2,127
10/5/95 13:58,52.3,126.2,127
10/5/95 13:58,52.3,126.2,127
10/5/95 13:59,52.3,126.2,127
10/5/95 14:00,52.3,126.2,127
10/5/95 14:00,52.3,126.2,127
10/5/95 14:01,52.3,126.2,127
10/5/95 14:02,52.3,126.2,127
10/5/95 14:02,52.3,126.2,127
10/5/95 14:03,52.3,126.2,127
10/5/95 14:04,52.3,126.2,127
10/5/95 14:04,52.3,126.2,127
10/5/95 14:05,52.3,126.2,127
10/5/95 14:06,52.3,126.2,127
10/5/95 14:06,52.3,126.2,127
10/5/95 14:07,52.3,126.2,127
10/5/95 14:08,52.3,126.2,127
10/5/95 14:08,52.3,126.2,127
10/5/95 14:09,52.3,126.2,127
10/5/95 14:10,52.3,126.2,127
10/5/95 14:10,52.3,126.2,127
